Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Judicial,OLIVIA AGUIRRE BONILLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OLIVIA_AGUIRRE_BONILLA_14.pdf
Poder Ejecutivo,REBECA STELLA ALADRO ECHEVERRIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/REBECA_STELLA_ALADRO_ECHEVERRIA_3.pdf
En Funciones,LENIA BATRES GUADARRAMA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LENIA_BATRES_GUADARRAMA_4103.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",JAZMIN BONILLA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAZMIN_BONILLA_GARCIA_4.pdf
Poder Ejecutivo,MARISOL CASTAÑEDA PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARISOL_CASTAÑEDA_PEREZ_5.pdf
Poder Ejecutivo,SELENE CRUZ ALCALA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SELENE_CRUZ_ALCALA_8.pdf
Poder Ejecutivo,SILVIA ESCUDERO MENDOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SILVIA_ESCUDERO_MENDOZA_15.pdf
En Funciones,YASMIN ESQUIVEL MOSSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YASMIN_ESQUIVEL_MOSSA_4104.pdf
Poder Ejecutivo,FABIANA ESTRADA TENA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FABIANA_ESTRADA_TENA_16.pdf
Poder Legislativo,ESTELA FUENTES JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ESTELA_FUENTES_JIMENEZ_20.pdf
Poder Legislativo,IRMA GUADALUPE GARCIA MENDOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IRMA_GUADALUPE_GARCIA_MENDOZA_21.pdf
Poder Judicial,PAULA MARIA GARCIA VILLEGAS SANCHEZ CORDERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PAULA_MARIA_GARCIA_VILLEGAS_SANCHEZ_CORDERO_22.pdf
Poder Legislativo,ALMA DELIA GONZALEZ CENTENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALMA_DELIA_GONZALEZ_CENTENO_23.pdf
Poder Judicial,ROSA ELENA GONZALEZ TIRADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROSA_ELENA_GONZALEZ_TIRADO_24.pdf
Poder Ejecutivo,MONICA ARCELIA GÜICHO GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MONICA_ARCELIA_GÜICHO_GONZALEZ_17.pdf
"Poder Ejecutivo, Poder Legislativo",SARA IRENE HERRERIAS GUERRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SARA_IRENE_HERRERIAS_GUERRA_26.pdf
"Poder Ejecutivo, Poder Judicial",ANA MARIA IBARRA OLGUIN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_MARIA_IBARRA_OLGUIN_18.pdf
Poder Judicial,LUTGARDA MADRIGAL VALDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUTGARDA_MADRIGAL_VALDEZ_29.pdf
"Poder Judicial, Poder Legislativo",DORA ALICIA MARTINEZ VALERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DORA_ALICIA_MARTINEZ_VALERO_30.pdf
Poder Judicial,MARISELA MORALES IBAÑEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARISELA_MORALES_IBAÑEZ_4102.pdf
Poder Judicial,MAGDA ZULEMA MOSRI GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAGDA_ZULEMA_MOSRI_GUTIERREZ_31.pdf
En Funciones,LORETTA ORTIZ AHLF,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LORETTA_ORTIZ_AHLF_4105.pdf
Poder Legislativo,CYNTHIA ORTIZ MONROY,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CYNTHIA_ORTIZ_MONROY_32.pdf
"Poder Ejecutivo, Poder Legislativo",LORENA JOSEFINA PEREZ ROMO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LORENA_JOSEFINA_PEREZ_ROMO_19.pdf
Poder Ejecutivo,ARELY REYES TERAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARELY_REYES_TERAN_25.pdf
"Poder Ejecutivo, Poder Legislativo",MARIA ESTELA RIOS GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ESTELA_RIOS_GONZALEZ_27.pdf
"Poder Ejecutivo, Poder Legislativo",MARGARITA DARLENE ROJAS OLVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARGARITA_DARLENE_ROJAS_OLVERA_28.pdf
Poder Legislativo,MA. CONSUELO ROSILLO GARFIAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MA._CONSUELO_ROSILLO_GARFIAS_37.pdf
Poder Ejecutivo,GLORIA ROSA SANTOS MENDOZA,
Poder Legislativo,INGRID DE LOS ANGELES TAPIA GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/INGRID_DE_LOS_ANGELES_TAPIA_GUTIERREZ_38.pdf
"Poder Ejecutivo, Poder Legislativo",NATALIA TELLEZ TORRES OROZCO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NATALIA_TELLEZ_TORRES_OROZCO_34.pdf
Poder Legislativo,VERONICA ELIZABETH UCARANZA SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VERONICA_ELIZABETH_UCARANZA_SANCHEZ_40.pdf
Poder Legislativo,LUZ MARIA ZARZA DELGADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUZ_MARIA_ZARZA_DELGADO_41.pdf
Poder Ejecutivo,HUGO AGUILAR ORTIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HUGO_AGUILAR_ORTIZ_35.pdf
Poder Judicial,JAIME ALLIER CAMPUZANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAIME_ALLIER_CAMPUZANO_43.pdf
"Poder Ejecutivo, Poder Legislativo",FEDERICO ANAYA GALLARDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FEDERICO_ANAYA_GALLARDO_36.pdf
"Poder Judicial, Poder Legislativo",ULISES CARLIN DE LA FUENTE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ULISES_CARLIN_DE_LA_FUENTE_45.pdf
Poder Judicial,EDGAR CORZO SOSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_CORZO_SOSA_46.pdf
Poder Legislativo,ABRAHAM AMIUD DAVILA RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ABRAHAM_AMIUD_DAVILA_RODRIGUEZ_47.pdf
Poder Ejecutivo,ISAAC DE PAZ GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ISAAC_DE_PAZ_GONZALEZ_231.pdf
Poder Ejecutivo,IRVING ESPINOSA BETANZO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IRVING_ESPINOSA_BETANZO_236.pdf
Poder Legislativo,RAYMUNDO ESPINOZA HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAYMUNDO_ESPINOZA_HERNANDEZ_50.pdf
Poder Ejecutivo,GIOVANNI AZAEL FIGUEROA MEJIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GIOVANNI_AZAEL_FIGUEROA_MEJIA_240.pdf
Poder Legislativo,MAURICIO FLORES CASTRO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAURICIO_FLORES_CASTRO_52.pdf
"Poder Judicial, Poder Legislativo",JAIME SALVADOR GARCIA GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAIME_SALVADOR_GARCIA_GONZALEZ_53.pdf
"Poder Judicial, Poder Legislativo",ANGEL MARIO GARCIA GUERRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANGEL_MARIO_GARCIA_GUERRA_54.pdf
Poder Judicial,RICARDO GARDUÑO PASTEN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_GARDUÑO_PASTEN_4106.pdf
Poder Ejecutivo,ARISTIDES RODRIGO GUERRERO GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARISTIDES_RODRIGO_GUERRERO_GARCIA_243.pdf
Poder Legislativo,CESAR MARIO GUTIERREZ PRIEGO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CESAR_MARIO_GUTIERREZ_PRIEGO_56.pdf
Poder Ejecutivo,LUIS RAFAEL HERNANDEZ PALACIOS MIRON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_RAFAEL_HERNANDEZ_PALACIOS_MIRON_244.pdf
Poder Legislativo,ROBERTO SALVADOR ILLANES OLIVARES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROBERTO_SALVADOR_ILLANES_OLIVARES_58.pdf
Poder Ejecutivo,JAVIER JIMENEZ GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAVIER_JIMENEZ_GUTIERREZ_246.pdf
Poder Judicial,GUILLERMO PABLO LOPEZ ANDRADE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUILLERMO_PABLO_LOPEZ_ANDRADE_4049.pdf
Poder Legislativo,FRANCISCO LUNA JAIME,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCO_LUNA_JAIME_60.pdf
Poder Judicial,SERGIO JAVIER MOLINA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_JAVIER_MOLINA_MARTINEZ_61.pdf
Poder Ejecutivo,LUIS EDWIN MOLINAR ROHANA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_EDWIN_MOLINAR_ROHANA_250.pdf
Poder Judicial,CARLOS ENRIQUE ODRIOZOLA MARISCAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_ENRIQUE_ODRIOZOLA_MARISCAL_63.pdf
"Poder Judicial, Poder Legislativo",CESAR ENRIQUE OLMEDO PIÑA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CESAR_ENRIQUE_OLMEDO_PIÑA_64.pdf
Poder Ejecutivo,GABRIEL REGIS LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIEL_REGIS_LOPEZ_254.pdf
Poder Ejecutivo,EDUARDO SANTILLAN PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDUARDO_SANTILLAN_PEREZ_256.pdf
Poder Judicial,RICARDO ALFREDO SODI CUELLAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_ALFREDO_SODI_CUELLAR_66.pdf
Poder Ejecutivo,ANTONIO SORELA CASTILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANTONIO_SORELA_CASTILLO_259.pdf
Poder Legislativo,EDUARDO JOSE TORRES MALDONADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDUARDO_JOSE_TORRES_MALDONADO_67.pdf
Poder Judicial,MAURICIO RICARDO III TORTOLERO SERRANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAURICIO_RICARDO_III_TORTOLERO_SERRANO_4107.pdf
